SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price_Range
2126,4,1,1,1969,5
2459,3,2,1,1980,4
1860,2,1,3,1970,7
2294,2,1,2,1996,5
2130,5,2,3,2001,6
2095,2,3,3,2020,4
2724,2,1,3,1993,7
2044,4,3,1,1957,4
2638,4,3,2,1959,8
1121,5,2,2,2004,2
1466,5,3,3,1951,4
2238,3,3,3,1987,6
1330,2,2,3,1992,3
2482,4,3,3,1989,5
1087,4,1,2,1976,3
2396,2,2,3,1993,6
2123,5,2,1,1956,4
1871,4,2,3,1977,4
2687,5,1,2,1979,5
1130,4,3,1,1962,3
2685,4,3,2,1999,9
2332,3,3,1,1978,6
1769,4,1,3,1963,3
1343,2,3,1,2013,4
2515,2,3,2,2013,7
2437,2,1,1,2004,6
1805,5,1,1,2002,5
1385,4,3,1,1996,2
2215,5,1,2,1952,6
1955,3,1,1,2014,5
1276,4,1,1,1965,3
2184,2,2,3,1959,7
1459,3,2,1,2006,2
2337,3,3,3,2008,7
1021,4,3,1,2013,3
1252,2,1,2,1993,3
1747,5,3,1,1982,5
1856,4,2,1,1959,3
2584,2,3,3,2001,9
1474,3,3,2,1959,4
2082,4,2,3,1966,4
1510,3,2,3,2002,4
2705,2,1,2,1971,6
2499,5,1,2,2021,6
1699,5,1,1,1960,4
1975,3,3,3,2016,6
2806,3,3,3,1962,8
1189,3,3,2,2007,5
1957,4,2,1,1994,5
1686,2,3,2,1994,5
1957,3,2,1,1992,7
1562,3,3,1,2013,2
2899,3,3,1,1988,9
2590,5,2,3,1957,7
2267,3,2,2,1989,5
1831,2,2,1,2000,4
2528,5,1,2,1969,6
2154,2,1,1,2015,4
2508,5,3,3,2007,8
2842,5,3,2,2014,9
1646,4,3,3,1994,2
1020,5,1,1,1983,5
1840,5,3,3,1961,5
1166,2,2,3,1972,4
2297,2,2,2,2017,4
1387,3,1,1,2002,4
1600,4,2,1,2002,6
1315,5,2,3,1989,2
1013,4,3,2,2002,4
1241,3,2,2,1985,4
1776,4,2,2,2014,4
2369,5,1,3,1963,5
1564,2,2,1,1983,4
1897,4,2,1,1975,7
2363,5,3,2,2004,7
1091,3,3,2,2012,4
2390,5,3,2,2019,4
1955,4,1,3,1995,4
2478,5,3,2,1986,6
2451,5,2,1,1972,5
1508,4,1,2,1965,3
1775,4,2,3,1981,5
2966,3,2,1,1956,6
1034,5,3,1,1993,3
1205,2,1,2,1996,4
2104,4,1,3,1954,5
2955,5,3,1,2012,8
2585,2,1,3,1961,6
2895,2,2,3,2021,6
2411,5,1,1,1958,7
2025,5,2,1,1993,5
2021,5,1,3,1971,2
2413,2,1,2,1995,4
1565,5,3,1,1957,3
2129,4,3,2,2005,5
2795,2,1,1,1977,7
2845,4,2,2,1996,7
2500,4,3,1,1984,5
1702,5,3,2,1970,5
1401,4,3,3,1982,3
1729,5,1,1,2019,4
2579,2,2,2,1997,5
1161,4,2,3,2003,6
1201,5,1,2,1951,2
2981,3,2,1,1982,6
1995,5,3,3,1965,5
1269,3,2,3,1999,5
2886,5,3,1,1969,7
1815,3,3,2,2016,5
2294,4,1,1,1994,8
1455,3,3,2,1984,4
2485,4,2,1,1978,5
2750,4,2,1,1994,8
2275,5,2,1,1964,6
2016,4,2,2,1952,5
2725,2,2,2,2018,5
1295,3,3,2,1983,4
2748,5,1,3,2020,6
1719,4,1,3,1953,4
2772,3,2,2,1968,6
1337,3,3,2,1970,5
1878,2,1,3,1964,3
2076,3,2,1,1966,4
1791,5,3,1,2003,5
2945,5,1,2,1986,6
1216,4,3,1,2003,3
1763,4,2,2,1971,5
1187,5,3,3,1957,3
1379,3,1,2,1960,2
1492,3,1,3,2019,2
2064,2,3,1,1958,6
2180,4,1,2,1951,6
1014,3,3,2,1981,5
2836,3,3,2,2000,5
1064,4,2,3,1986,5
2880,5,2,1,1955,7
2862,3,3,2,1961,5
1520,2,1,1,2003,5
2367,3,2,3,1995,5
2152,3,1,1,1982,7
1647,2,3,2,1967,3
2495,5,1,2,1987,7
2086,2,1,3,2008,3
2162,2,3,1,1956,5
2522,4,2,2,1964,7
1592,3,2,3,1950,5
1391,5,1,1,1995,2
2698,3,3,2,1981,7
1418,5,3,3,1998,5
1288,2,2,3,1959,3
1378,4,3,3,1966,3
2796,2,3,3,1969,4
2513,3,1,3,2000,6
1230,4,1,1,1971,3
2017,4,2,2,1969,4
1040,3,2,1,2014,2
2051,5,1,3,1953,4
1134,4,3,2,2003,4
1200,5,3,3,2014,4
2863,5,1,3,2000,7
1779,5,1,2,1960,5
1929,4,1,1,1976,6
2056,2,1,2,1975,6
2071,4,3,1,1966,4
1502,2,3,3,1991,3
1406,4,2,3,1997,3
2597,2,1,1,1982,5
2751,2,2,3,2010,8
1804,4,3,1,1978,5
1098,5,2,1,2012,3
1683,5,3,2,1986,5
2895,2,3,3,2005,7
1725,3,2,2,1965,5
2570,3,2,2,2005,6
1960,4,1,3,1991,5
2762,4,3,2,1973,8
1612,4,1,3,2018,3
2966,3,1,3,1980,6
2485,5,3,2,1960,7
1642,4,2,3,1951,5
2792,4,1,3,2020,5
2028,5,1,3,1984,4
2241,2,3,3,2011,4
1502,4,2,2,2003,4
1766,3,2,1,2018,5
1397,3,1,2,2000,4
1870,4,3,1,1958,5
1794,3,1,1,1963,3
1392,5,2,1,2005,5
1206,2,1,3,1983,3
2038,2,3,1,1950,5
2881,4,1,3,1987,6
2577,4,2,3,1966,5
1891,2,3,3,1965,6
2484,2,3,2,1997,8
2714,4,3,1,1999,6
2598,3,3,2,2020,5
1863,4,3,3,1990,6
1742,5,1,2,1993,5
2264,4,3,3,1964,5
1563,4,2,2,2010,7
2020,4,3,3,1999,6
1095,4,2,3,2001,2
2923,4,2,2,2001,5
2757,4,2,3,1985,6
1484,3,2,1,1982,6
2430,4,2,2,1994,6
1230,2,1,2,1951,3
1748,4,2,3,1950,3
2678,3,2,2,2019,6
2194,5,2,1,1996,5
1540,2,1,2,2013,4
2059,4,3,1,1967,5
1524,4,2,2,2003,4
2183,2,1,1,1984,4
2862,4,1,2,2008,7
2722,3,1,1,1985,7
2266,4,3,3,1975,7
2109,5,1,2,1994,4
2819,3,2,2,2018,5
1577,4,2,1,1979,4
1681,5,2,2,1982,5
1556,2,3,1,1972,4
2597,3,1,3,1970,5
2976,4,2,1,2012,8
2012,4,2,2,2019,8
1645,2,2,3,2017,3
1795,2,3,1,1985,6
2051,3,2,1,1986,5
2643,3,1,3,1950,5
2579,3,1,2,1975,7
2363,4,3,2,1991,6
2821,4,3,2,1989,5
2981,3,3,3,2002,7
2354,4,1,1,2011,6
2663,2,3,3,1993,6
2529,5,3,1,1985,6
2371,4,1,3,1953,5
2496,3,2,1,1970,7
2254,4,3,1,1966,6
1189,2,2,3,1965,2
2248,3,2,3,1990,4
2408,5,2,3,2004,7
2400,3,2,1,2006,7
2306,3,3,3,2015,6
2981,3,3,1,1987,6
1632,4,3,1,2005,5
1627,5,1,3,1986,5
1972,2,1,2,1999,5
2768,4,2,2,2004,7
2282,5,1,1,1950,8
2382,5,2,1,2014,5
1709,4,2,2,2014,4
2479,3,3,1,1993,7
2434,5,3,2,1961,5
1648,2,1,1,2002,4
1317,4,3,1,2010,2
2700,5,1,3,1962,8
2248,2,3,2,1991,5
2842,2,3,1,1995,6
2257,2,1,2,1991,5
1683,2,2,3,1965,4
1663,4,1,2,1993,4
2998,2,3,1,2019,5
2850,4,2,2,1965,5
2397,2,3,3,1971,7
2695,2,3,2,1984,7
2631,4,3,2,1998,7
2495,3,2,2,2020,4
2256,5,3,2,2013,7
2715,5,1,1,1980,5
2136,4,1,2,1950,5
2853,2,1,3,1974,6
2520,4,2,2,1969,9
1441,2,1,3,1957,4
1563,4,3,3,2013,4
2291,5,2,3,1965,6
2533,4,3,3,2004,7
2830,5,3,1,1975,6
2409,5,3,2,2014,7
2410,5,1,2,1977,6
2136,4,1,1,1995,3
2636,3,2,2,2003,5
2648,4,2,1,2003,8
1951,4,1,3,2021,6
2104,3,1,2,1998,5
1698,3,3,3,1995,5
1112,5,1,2,1950,2
1001,2,3,2,1993,4
1641,2,1,2,1953,6
1219,5,3,3,1980,3
2589,4,1,1,1964,7
1854,2,1,3,1950,6
2759,4,2,1,2021,4
2248,3,2,2,1955,4
1384,3,3,2,1976,4
2426,5,2,2,1975,7
2661,4,2,2,2015,7
2153,5,1,3,1962,5
2076,2,3,1,2020,5
2707,2,2,1,1983,5
1729,2,2,1,1982,3
2695,4,1,2,1989,6
2733,5,1,3,1992,6
2439,5,1,2,1956,6
1246,2,3,1,1988,3
1835,5,1,3,2015,5
2462,3,3,3,1985,5
1202,3,1,2,2013,4
2207,3,2,3,1953,4
1122,3,3,3,1971,3
1400,5,1,3,2020,4
1766,3,1,2,1953,3
1293,3,2,2,2013,5
1279,3,2,3,1971,4
2860,3,2,2,2011,6
1883,3,1,3,1989,4
2633,4,2,1,1969,6
1197,4,2,1,1958,2
1981,3,3,3,2014,4
2930,3,3,1,1972,8
2534,5,3,1,1984,7
1751,3,1,1,2008,6
1143,2,3,3,1963,4
1608,4,1,2,1993,4
2224,3,2,3,1971,5
2147,4,1,3,1977,4
1186,3,1,2,2008,3
2349,2,2,3,1996,6
1463,3,3,3,2017,4
2372,4,3,3,2019,5
2794,4,3,1,1966,9
1659,4,2,3,1980,3
1763,5,1,3,1963,5
1954,4,2,2,1998,3
2955,3,2,1,2016,6
1402,2,2,1,1970,3
2369,2,2,3,1962,5
2986,3,1,1,1999,7
2534,5,3,1,2017,5
1146,3,3,2,1961,3
2171,4,2,2,1997,4
1863,5,1,1,2013,7
2734,3,2,2,1964,5
2843,5,1,3,1965,7
1488,2,2,2,2021,2
1928,3,3,3,1999,5
2959,3,3,2,1990,8
2663,2,2,1,1953,7
1550,5,3,3,1969,4
1337,2,2,2,1957,4
1871,5,1,2,2017,5
1640,3,1,3,1996,4
2802,5,1,2,1982,5
2976,5,1,1,1954,6
1472,4,2,3,2017,4
2969,4,3,1,1990,8
1150,4,1,3,2010,4
2438,2,3,3,1973,5
2321,2,2,3,1976,5
2634,4,3,3,1978,8
1262,3,3,1,2016,4
2787,3,3,1,1986,7
1143,3,2,3,2002,2
1345,2,2,3,1951,4
1623,5,2,1,1986,5
2016,2,3,3,2021,5
2595,4,1,3,2014,6
1880,5,1,1,1997,4
1001,3,3,1,1998,4
1896,2,1,1,1996,4
2327,2,1,2,1953,5
1253,4,3,3,1952,5
2675,3,2,1,1985,8
1452,2,1,3,1955,2
2060,2,2,2,1983,5
2183,5,1,1,2001,5
2014,2,3,1,1980,5
1008,5,3,3,1983,4
2256,2,2,3,1991,4
2122,3,2,1,1997,6
2682,4,2,1,2005,6
1815,3,2,3,1967,4
1207,4,3,3,1963,4
2154,2,3,1,2018,7
1403,3,3,2,2007,4
1151,5,2,3,2019,3
1053,4,3,3,2005,2
2143,4,3,3,2002,5
2696,2,1,1,2018,6
2943,4,1,1,2009,5
1627,4,1,1,1981,4
1586,4,2,3,1996,5
2648,2,2,3,1971,6
2991,3,3,2,1953,9
2443,2,3,1,1974,5
2445,5,2,1,2010,5
1103,4,1,3,1961,5
2875,4,3,3,1980,7
1253,3,1,2,1950,3
2250,4,3,3,2010,6
2135,3,1,3,1955,5
1509,4,3,3,1971,4
2496,4,1,2,1961,6
1098,2,1,2,1972,2
1152,2,2,2,1984,2
2884,5,3,2,1963,6
1913,3,1,2,1979,4
2919,5,2,1,1971,7
1877,2,3,3,1965,4
1337,3,2,2,2020,5
2729,2,1,2,1964,6
1821,3,3,2,1951,3
2186,4,1,2,1971,4
2743,5,1,3,2012,7
1956,5,2,3,1964,6
2704,3,1,1,1968,7
1160,5,3,3,1970,4
2603,2,2,2,1976,5
1800,5,1,2,1968,7
1397,3,1,2,1975,3
2300,5,1,2,1998,7
1815,5,2,3,2007,3
2939,2,3,3,2016,5
2527,4,2,1,1974,6
2919,2,1,3,1971,7
2415,5,2,2,1963,5
2158,5,1,2,1958,7
2218,4,2,3,1971,6
1400,4,1,1,1964,4
1639,2,2,1,1989,4
